,f1,precision,recall,auroc
ts_,0.8421155454015133,0.7503258298001314,0.9595061727407916,0.8010656784135693
mean_,0.858278429079159,0.833333325258398,0.8847736534488307,0.875811069741111
max_,0.8375871488975137,0.7232610267519743,0.9948559568430456,0.7336942321510223
mean_bp,0.4571393233831669,0.9999999652777791,0.2962962932479805,0.875811069741111
