,f1,precision,recall,auroc
ts_,0.8307967291969153,0.716081214215172,0.9892919388900553,0.7143096630010028
mean_,0.8287344056082503,0.7081081026400918,0.9989106644998839,0.7830428467683369
max_,0.8287344056082503,0.7081081026400918,0.9989106644998839,0.7274930548351028
