,f1,precision,recall,auroc
mean_,0.8287344056082503,0.7081081026400918,0.998910664499884,0.4387528674021048
max_,0.8287344056082503,0.7081081026400918,0.998910664499884,0.4639110788348261
mean_bp,0.16948997077972963,0.999999882352955,0.0925925915839587,0.43875286740210484
