,f1,precision,recall,auroc
mean_,0.8367034401172305,0.7197924335078396,0.9989711831381566,0.508693143466806
max_,0.8367034401172305,0.7197924335078396,0.9989711831381566,0.5104513684760599
mean_bp,0.2502228288293854,0.9999999280575591,0.14300411375510172,0.508693143466806
